instance,benchmark_name,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,solved,time,time,time,time,solver,solver_config,wall,tw_range,wall,wall,wall,wall,solver_args
count,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,sum,mean,amin,amax,std,,,amin,,std,sum,mean,amax,
311,networks,15.1736334405,2.0,25.0,5.33358917894,16.0546623794,2.0,30.0,6.11293465756,150,274,7,311.0,125.199698392,2.2127,1882.67,342.203401305,tw-limprovement,tcs-b75-n1,1.6618,"(0, 25]",342.198585864,38747.0696,124.588648232,1882.1105,-w 1800 -b 75 -r 10
314,networks,15.347133758,2.0,25.0,5.48630663092,16.1847133758,2.0,29.0,6.19473305714,150,263,7,314.0,72.3854194268,4.985,907.082,130.922511975,tw-limprovement,jdrasil-b75-n1,4.4564,"(0, 25]",130.910716276,22486.4263,71.6128226115,906.0167,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
288,networks,14.7569444444,2.0,25.0,5.32726407712,15.5173611111,2.0,30.0,6.02142319247,128,219,6,288.0,295.641864931,2.38,3809.53,634.195232319,tw-limprovement,tcs-b100-n1,1.8424,"(0, 25]",634.19607572,84933.4209,294.907711458,3808.777,-w 1800 -b 100 -r 10
309,networks,15.2912621359,2.0,25.0,5.46469970651,15.9579288026,2.0,29.0,6.01363523031,125,206,4,309.0,16.6539404531,5.0889,65.5594,10.3107706045,tw-limprovement,jdrasil-b50-n1,4.501,"(0, 25]",10.2870144417,4929.1212,15.9518485437,64.9897,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
268,networks,14.6007462687,2.0,25.0,5.49983991961,15.3619402985,2.0,30.0,6.2745821566,105,204,5,268.0,176.202546269,5.1223,5301.84,565.037641471,tw-limprovement,jdrasil-b75t1800-n1,4.3169,"(0, 25]",565.036769272,47004.3775,175.389468284,5301.0925,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'"
267,networks,14.5468164794,2.0,25.0,5.45803015845,15.265917603,2.0,30.0,6.18697390114,101,192,5,267.0,162.895964419,4.6001,7109.83,572.918990176,tw-limprovement,jdrasil-b100-n1,3.9435,"(0, 25]",572.913302227,43281.2857,162.102193633,7109.0414,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
256,networks,14.16015625,2.0,24.0,5.24551483249,14.8359375,2.0,30.0,5.90815633464,95,173,7,256.0,158.06511875,4.863,7095.79,573.009894541,tw-limprovement,jdrasil-b150-n1,4.2944,"(0, 25]",573.009979787,40251.7038,157.233217969,7095.0299,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
255,networks,14.1568627451,2.0,25.0,5.25181839158,14.8,2.0,30.0,5.88431787469,93,164,7,255.0,150.696146667,5.0458,7035.08,605.776978966,tw-limprovement,jdrasil-b125-n1,4.1446,"(0, 25]",605.771736721,38215.6992,149.865487059,7034.1808,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
304,networks,15.2861842105,2.0,25.0,5.5228603741,15.7664473684,2.0,27.0,5.87055576253,100,146,4,304.0,7.56707598684,2.1979,57.9085,5.19319739464,tw-limprovement,tcs-b50-n1,1.6443,"(0, 25]",5.17880019542,2119.2482,6.97121118421,57.2029,-w 1800 -b 50 -r 10
255,networks,13.9137254902,2.0,24.0,4.97952578173,14.4196078431,2.0,27.0,5.39615711934,95,129,3,255.0,146.109402745,2.7867,2161.85,309.129599103,tw-limprovement,tcs-b125-n1,2.1626,"(0, 25]",309.104845798,37078.608,145.406305882,2161.084,-w 1800 -b 125 -r 10
250,networks,13.868,2.0,24.0,5.01669662028,14.332,2.0,27.0,5.40988385952,90,116,3,250.0,144.7354936,2.9003,2112.76,320.877803472,tw-limprovement,tcs-b150-n1,2.1024,"(0, 25]",320.857043302,36001.3774,144.0055096,2112.0069,-w 1800 -b 150 -r 10
293,networks,15.0443686007,2.0,25.0,5.34572649963,15.3822525597,2.0,29.0,5.62929827049,76,99,4,293.0,4.44846518771,1.5365,57.976,4.86254216982,tw-limprovement,htd-b150-n1,0.9847,"(0, 25]",4.87070239923,1102.0306,3.76119658703,57.1892,-w 1800 -b 150 -r 10 -s htd_main
293,networks,15.1365187713,2.0,25.0,5.45483926447,15.3959044369,2.0,30.0,5.66171808394,57,76,5,293.0,4.2617559727,1.5183,58.39,4.71629468806,tw-limprovement,htd-b100-n1,0.9844,"(0, 25]",4.7223672073,1062.8089,3.62733412969,57.8307,-w 1800 -b 100 -r 10 -s htd_main
290,networks,15.2206896552,2.0,25.0,5.52373797203,15.2551724138,2.0,25.0,5.5159778114,9,10,2,290.0,9.93208103448,4.2399,64.2919,5.87531730794,tw-limprovement,jdrasil-b25-n1,3.6576,"(0, 25]",5.87886340107,2699.1186,9.30730551724,63.6318,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
217,networks,36.3778801843,26.0,50.0,6.40927201075,40.5668202765,27.0,60.0,7.60399538802,192,909,12,217.0,611.204725346,11.8685,7032.89,1229.57825323,tw-limprovement,jdrasil-b75t1800-n1,11.3032,"(25, 50]",1229.56065122,132445.6889,610.348796774,7031.9974,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'"
206,networks,36.567961165,27.0,50.0,6.42576693484,40.6893203883,27.0,60.0,7.65350756663,180,849,12,206.0,399.658965049,13.6027,5498.04,740.90761883,tw-limprovement,jdrasil-b100-n1,12.7347,"(25, 50]",740.899637251,82153.2488,398.802178641,5497.2573,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
197,networks,37.0913705584,26.0,50.0,7.18500256698,40.5076142132,27.0,62.0,8.3955887891,162,673,12,197.0,1508.29012081,6.879,7192.3,1814.36716287,tw-limprovement,tcs-b100-n1,6.2139,"(25, 50]",1814.36481809,296986.6579,1507.5464868,7191.5343,-w 1800 -b 100 -r 10
229,networks,35.4410480349,26.0,50.0,6.96811477074,38.1746724891,27.0,54.0,6.96136364327,175,626,10,229.0,73.7477366812,10.7369,311.831,49.4353953521,tw-limprovement,jdrasil-b75-n1,10.117,"(25, 50]",49.4152451343,16710.0628,72.9697065502,311.2951,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
